id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
40334,Cayman Island cottage and overview,173353,"Tiffany, Jeremiah And Forest",,Hollywood,26.02937,-80.14039,Entire home/apt,75,3,34,2019-04-13,0.36,4,193
42084,Oceanview luxury hotel suite,183960,Karim,,Fort Lauderdale,26.12814,-80.10259,Entire home/apt,199,4,124,2019-03-11,1.15,1,0
57818,PRIVATE HOUSE NEAR BEACH SLEEP 5,275948,VonJon,,Hollywood,26.0167,-80.12437,Entire home/apt,162,2,38,2019-05-13,0.48,1,364
69824,2 bd/2ba Oceanfront Condo,351303,Tracy,,Hallandale Beach,25.9784,-80.12028,Entire home/apt,100,30,6,2019-01-18,0.31,1,347
83449,MARY POP APTS 2/1 APT SLEEP 5,454736,"Jon,  Mary Pop Apartments",,Hollywood,26.03325,-80.14176,Entire home/apt,67,7,19,2017-03-11,0.20,7,88
86410,GREAT STUDIO FEW BLOCKS TO THE BEACH,474053,Estela And Adriana,,Hallandale Beach,25.98672,-80.12629,Entire home/apt,69,3,55,2019-01-30,0.56,2,134
105411,House in the Ranches,532930,Sonia,,Southwest Ranches,26.04678,-80.36809,Entire home/apt,235,4,5,2018-03-28,0.06,1,364
129061,MIAMI - LUXURY APARTMENT OVER BEACH,637272,Bianca,,Hollywood,25.99332,-80.11887,Entire home/apt,250,20,20,2019-04-08,0.23,6,0
129099,MIAMI - AMAZING APARTMENT OCEANVIEW,637272,Bianca,,Hollywood,25.99416,-80.11969,Entire home/apt,250,18,30,2019-07-10,9.09,6,0
183714,CODY PLACE,881264,Carlene,,Hollywood,26.0383,-80.23558,Entire home/apt,159,1,9,2019-04-02,0.20,3,89
191160,Tropical Beach Paradise Awaits You,924482,Dan,,Deerfield Beach,26.30647,-80.07824,Entire home/apt,119,2,21,2019-04-13,0.23,2,339
216046,The Ultimate Family Vacation Home!,964836,Gary/Myriam,,Hollywood,26.00746,-80.19631,Entire home/apt,350,3,30,2019-05-21,0.33,1,316
217990,MIAMI - COSY APT OVER THE BEACH,637272,Bianca,,Hollywood,25.9942,-80.11725,Entire home/apt,160,10,20,2018-06-23,0.36,6,0
229773,Gorgeous Private Las Olas-Idlewyld Home,1097874,Paul,,Fort Lauderdale,26.11784,-80.11059,Entire home/apt,250,3,52,2019-07-08,0.65,1,143
240409," Ocean View Condo, Pompano Beach",1235314,Felix,,Pompano Beach,26.24347,-80.08914,Entire home/apt,175,7,0,,,1,365
241944,MARY POP APARTMENTS #203,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.0344,-80.14255,Entire home/apt,78,7,9,2016-06-17,0.11,7,88
